#,Sample flow data,,
#,,,
#,Make sure the site id's match the row labels in the catchment area file.,,
#,,,
,1001,1002,1003a
13/11/1950,-99.99,-99.99,-99.99
14/11/1950,-99.99,-99.99,-99.99
15/11/1950,-99.99,-99.99,-99.99
16/11/1950,-99.99,-99.99,-99.99
17/11/1950,-99.99,-99.99,-99.99
18/11/1950,-99.99,-99.99,-99.99
19/11/1950,-99.99,-99.99,-99.99
20/11/1950,-99.99,-99.99,-99.99
21/11/1950,-99.99,-99.99,-99.99
22/11/1950,-99.99,-99.99,-99.99
23/11/1950,-99.99,-99.99,-99.99
24/11/1950,-99.99,-99.99,-99.99
25/11/1950,-99.99,-99.99,-99.99
26/11/1950,-99.99,-99.99,-99.99
27/11/1950,-99.99,-99.99,-99.99
28/11/1950,-99.99,-99.99,-99.99
29/11/1950,-99.99,-99.99,-99.99
30/11/1950,-99.99,-99.99,-99.99
1/12/1950,-99.99,-99.99,-99.99
2/12/1950,-99.99,-99.99,-99.99
3/12/1950,-99.99,-99.99,-99.99
4/12/1950,-99.99,-99.99,-99.99
5/12/1950,-99.99,-99.99,-99.99
6/12/1950,-99.99,-99.99,-99.99
7/12/1950,-99.99,-99.99,-99.99
8/12/1950,-99.99,-99.99,-99.99
9/12/1950,-99.99,-99.99,-99.99
10/12/1950,-99.99,-99.99,-99.99
11/12/1950,-99.99,-99.99,-99.99
12/12/1950,-99.99,-99.99,-99.99
13/12/1950,-99.99,-99.99,-99.99
14/12/1950,-99.99,-99.99,-99.99
15/12/1950,-99.99,-99.99,-99.99
16/12/1950,-99.99,-99.99,-99.99
17/12/1950,-99.99,-99.99,-99.99
18/12/1950,-99.99,-99.99,-99.99
19/12/1950,-99.99,-99.99,-99.99
20/12/1950,-99.99,-99.99,-99.99
21/12/1950,-99.99,-99.99,-99.99
22/12/1950,-99.99,-99.99,-99.99
23/12/1950,-99.99,-99.99,-99.99
24/12/1950,-99.99,-99.99,-99.99
25/12/1950,-99.99,-99.99,-99.99
26/12/1950,-99.99,-99.99,-99.99
27/12/1950,-99.99,-99.99,-99.99
28/12/1950,-99.99,-99.99,-99.99
29/12/1950,-99.99,-99.99,-99.99
30/12/1950,-99.99,-99.99,-99.99
31/12/1950,-99.99,-99.99,-99.99
1/01/1951,-99.99,-99.99,-99.99
2/01/1951,-99.99,-99.99,-99.99
3/01/1951,-99.99,-99.99,-99.99
4/01/1951,-99.99,-99.99,-99.99
5/01/1951,-99.99,-99.99,-99.99
6/01/1951,-99.99,-99.99,-99.99
7/01/1951,-99.99,-99.99,-99.99
8/01/1951,-99.99,-99.99,-99.99
9/01/1951,-99.99,-99.99,-99.99
10/01/1951,-99.99,-99.99,-99.99
11/01/1951,-99.99,-99.99,-99.99
12/01/1951,-99.99,-99.99,-99.99
13/01/1951,-99.99,-99.99,-99.99
14/01/1951,-99.99,-99.99,-99.99
15/01/1951,-99.99,-99.99,-99.99
16/01/1951,-99.99,-99.99,-99.99
17/01/1951,-99.99,-99.99,-99.99
18/01/1951,-99.99,-99.99,-99.99
19/01/1951,-99.99,-99.99,-99.99
20/01/1951,-99.99,-99.99,-99.99
21/01/1951,-99.99,-99.99,-99.99
22/01/1951,-99.99,-99.99,-99.99
23/01/1951,-99.99,-99.99,-99.99
24/01/1951,-99.99,-99.99,-99.99
25/01/1951,-99.99,-99.99,-99.99
26/01/1951,-99.99,-99.99,-99.99
27/01/1951,-99.99,-99.99,-99.99
28/01/1951,-99.99,-99.99,-99.99
29/01/1951,-99.99,-99.99,-99.99
30/01/1951,-99.99,-99.99,-99.99
31/01/1951,-99.99,-99.99,-99.99
1/02/1951,-99.99,-99.99,-99.99
2/02/1951,-99.99,-99.99,-99.99
3/02/1951,-99.99,-99.99,-99.99
4/02/1951,-99.99,-99.99,-99.99
5/02/1951,-99.99,-99.99,-99.99
6/02/1951,-99.99,-99.99,-99.99
7/02/1951,-99.99,-99.99,-99.99
8/02/1951,-99.99,-99.99,-99.99
9/02/1951,-99.99,-99.99,-99.99
10/02/1951,-99.99,-99.99,-99.99
11/02/1951,-99.99,-99.99,-99.99
12/02/1951,-99.99,-99.99,-99.99
13/02/1951,-99.99,-99.99,-99.99
14/02/1951,-99.99,-99.99,-99.99
15/02/1951,-99.99,-99.99,-99.99
16/02/1951,-99.99,-99.99,-99.99
17/02/1951,-99.99,-99.99,-99.99
18/02/1951,-99.99,-99.99,-99.99
19/02/1951,-99.99,-99.99,-99.99
20/02/1951,-99.99,-99.99,-99.99
21/02/1951,-99.99,-99.99,-99.99
22/02/1951,-99.99,-99.99,-99.99
23/02/1951,-99.99,-99.99,-99.99
24/02/1951,-99.99,-99.99,-99.99
25/02/1951,-99.99,-99.99,-99.99
26/02/1951,-99.99,-99.99,-99.99
27/02/1951,-99.99,-99.99,-99.99
28/02/1951,-99.99,-99.99,-99.99
1/03/1951,-99.99,-99.99,-99.99
